"interaction","name","selected","shared interaction","shared name"
"interacts with","CD151 (interacts with) STAU1","false","interacts with","CD151 (interacts with) STAU1"
"interacts with","CD151 (interacts with) TFAP2D","false","interacts with","CD151 (interacts with) TFAP2D"
"interacts with","CD151 (interacts with) TFCP2L1","false","interacts with","CD151 (interacts with) TFCP2L1"
"interacts with","CD151 (interacts with) THADA","false","interacts with","CD151 (interacts with) THADA"
"interacts with","CD151 (interacts with) TP53BP2","false","interacts with","CD151 (interacts with) TP53BP2"
"interacts with","CD151 (interacts with) TRIM58","false","interacts with","CD151 (interacts with) TRIM58"
"interacts with","CD151 (interacts with) TRPV5","false","interacts with","CD151 (interacts with) TRPV5"
"interacts with","CD151 (interacts with) TRPV6","false","interacts with","CD151 (interacts with) TRPV6"
"interacts with","CD151 (interacts with) TTC30A","false","interacts with","CD151 (interacts with) TTC30A"
"interacts with","CD151 (interacts with) UBE3C","false","interacts with","CD151 (interacts with) UBE3C"
"interacts with","CD151 (interacts with) UBR2","false","interacts with","CD151 (interacts with) UBR2"
"interacts with","CD151 (interacts with) VANGL2","false","interacts with","CD151 (interacts with) VANGL2"
"interacts with","CD151 (interacts with) VAPB","false","interacts with","CD151 (interacts with) VAPB"
"interacts with","CD151 (interacts with) WASL","false","interacts with","CD151 (interacts with) WASL"
"interacts with","CD151 (interacts with) WDR26","false","interacts with","CD151 (interacts with) WDR26"
"interacts with","CD151 (interacts with) ZBTB20","false","interacts with","CD151 (interacts with) ZBTB20"
"interacts with","CD151 (interacts with) ZHX2","false","interacts with","CD151 (interacts with) ZHX2"
"interacts with","HNRNPAB (interacts with) LPP","false","interacts with","HNRNPAB (interacts with) LPP"
"interacts with","HNRNPAB (interacts with) MAK","false","interacts with","HNRNPAB (interacts with) MAK"
"interacts with","HNRNPAB (interacts with) MAP3K13","false","interacts with","HNRNPAB (interacts with) MAP3K13"
"interacts with","HNRNPAB (interacts with) NIPAL2","false","interacts with","HNRNPAB (interacts with) NIPAL2"
"interacts with","HNRNPAB (interacts with) PAK7","false","interacts with","HNRNPAB (interacts with) PAK7"
"interacts with","HNRNPAB (interacts with) PAPOLB","false","interacts with","HNRNPAB (interacts with) PAPOLB"
"interacts with","HNRNPAB (interacts with) PAPOLG","false","interacts with","HNRNPAB (interacts with) PAPOLG"
"interacts with","HNRNPAB (interacts with) PPP2R3A","false","interacts with","HNRNPAB (interacts with) PPP2R3A"
"interacts with","HNRNPAB (interacts with) RAPGEF5","false","interacts with","HNRNPAB (interacts with) RAPGEF5"
"interacts with","HNRNPAB (interacts with) RASA2","false","interacts with","HNRNPAB (interacts with) RASA2"
"interacts with","HNRNPAB (interacts with) REM1","false","interacts with","HNRNPAB (interacts with) REM1"
"interacts with","HNRNPAB (interacts with) RNF133","false","interacts with","HNRNPAB (interacts with) RNF133"
"interacts with","HNRNPAB (interacts with) SLC7A14","false","interacts with","HNRNPAB (interacts with) SLC7A14"
"interacts with","HNRNPAB (interacts with) STK17B","false","interacts with","HNRNPAB (interacts with) STK17B"
"interacts with","HNRNPAB (interacts with) UBXN7","false","interacts with","HNRNPAB (interacts with) UBXN7"
"interacts with","HNRNPAB (interacts with) ZFAND1","false","interacts with","HNRNPAB (interacts with) ZFAND1"
"interacts with","LCN15 (interacts with) NCOA3","false","interacts with","LCN15 (interacts with) NCOA3"
"interacts with","LCN15 (interacts with) PTPN12","false","interacts with","LCN15 (interacts with) PTPN12"
"interacts with","LCN15 (interacts with) RAB11FIP5","false","interacts with","LCN15 (interacts with) RAB11FIP5"
"interacts with","LCN15 (interacts with) RAI14","false","interacts with","LCN15 (interacts with) RAI14"
"interacts with","LCN15 (interacts with) S100A9","false","interacts with","LCN15 (interacts with) S100A9"
"interacts with","LCN15 (interacts with) SAMD9","false","interacts with","LCN15 (interacts with) SAMD9"
"interacts with","LCN15 (interacts with) THBD","false","interacts with","LCN15 (interacts with) THBD"
"interacts with","LCN15 (interacts with) TMEM212","false","interacts with","LCN15 (interacts with) TMEM212"
"interacts with","MELK (interacts with) MOSC2","false","interacts with","MELK (interacts with) MOSC2"
"interacts with","MELK (interacts with) NIPAL2","false","interacts with","MELK (interacts with) NIPAL2"
